Temperature (Celsius),Year,Month, Country, ISO3
26.9,2000, Jan , Australia, AUS
27,2000, Feb , Australia, AUS
25.1,2000, Mar , Australia, AUS
21.6,2000, Apr , Australia, AUS
16.6,2000, May , Australia, AUS
14.1,2000, Jun , Australia, AUS
14.6,2000, Jul , Australia, AUS
15.7,2000, Aug , Australia, AUS
20.6,2000, Sep , Australia, AUS
22,2000, Oct , Australia, AUS
25.2,2000, Nov , Australia, AUS
26.9,2000, Dec , Australia, AUS
28.8,2001, Jan , Australia, AUS
27.3,2001, Feb , Australia, AUS
24.5,2001, Mar , Australia, AUS
21.9,2001, Apr , Australia, AUS
17.3,2001, May , Australia, AUS
15.5,2001, Jun , Australia, AUS
14.3,2001, Jul , Australia, AUS
15.7,2001, Aug , Australia, AUS
19.7,2001, Sep , Australia, AUS
21.2,2001, Oct , Australia, AUS
24.4,2001, Nov , Australia, AUS
26,2001, Dec , Australia, AUS
27.5,2002, Jan , Australia, AUS
26.2,2002, Feb , Australia, AUS
25.6,2002, Mar , Australia, AUS
23.4,2002, Apr , Australia, AUS
19.1,2002, May , Australia, AUS
15.2,2002, Jun , Australia, AUS
14.4,2002, Jul , Australia, AUS
15.9,2002, Aug , Australia, AUS
19.8,2002, Sep , Australia, AUS
23.3,2002, Oct , Australia, AUS
26.5,2002, Nov , Australia, AUS
27.7,2002, Dec , Australia, AUS
28.4,2003, Jan , Australia, AUS
27.8,2003, Feb , Australia, AUS
24.9,2003, Mar , Australia, AUS
22.6,2003, Apr , Australia, AUS
18.8,2003, May , Australia, AUS
15.5,2003, Jun , Australia, AUS
14.8,2003, Jul , Australia, AUS
16.1,2003, Aug , Australia, AUS
20,2003, Sep , Australia, AUS
21.9,2003, Oct , Australia, AUS
25.7,2003, Nov , Australia, AUS
27.7,2003, Dec , Australia, AUS
28.1,2004, Jan , Australia, AUS
27.9,2004, Feb , Australia, AUS
25.5,2004, Mar , Australia, AUS
22.7,2004, Apr , Australia, AUS
17.7,2004, May , Australia, AUS
15.5,2004, Jun , Australia, AUS
14.2,2004, Jul , Australia, AUS
15.6,2004, Aug , Australia, AUS
18.7,2004, Sep , Australia, AUS
24,2004, Oct , Australia, AUS
25.3,2004, Nov , Australia, AUS
27.3,2004, Dec , Australia, AUS
28.1,2005, Jan , Australia, AUS
27.6,2005, Feb , Australia, AUS
26.3,2005, Mar , Australia, AUS
24.2,2005, Apr , Australia, AUS
19,2005, May , Australia, AUS
15.7,2005, Jun , Australia, AUS
14.9,2005, Jul , Australia, AUS
16,2005, Aug , Australia, AUS
19.8,2005, Sep , Australia, AUS
23.3,2005, Oct , Australia, AUS
25.7,2005, Nov , Australia, AUS
27.6,2005, Dec , Australia, AUS
28.7,2006, Jan , Australia, AUS
27.4,2006, Feb , Australia, AUS
25.9,2006, Mar , Australia, AUS
21,2006, Apr , Australia, AUS
16.8,2006, May , Australia, AUS
13.6,2006, Jun , Australia, AUS
13.8,2006, Jul , Australia, AUS
16.6,2006, Aug , Australia, AUS
20,2006, Sep , Australia, AUS
23.6,2006, Oct , Australia, AUS
26.5,2006, Nov , Australia, AUS
26.8,2006, Dec , Australia, AUS
27.5,2007, Jan , Australia, AUS
28.4,2007, Feb , Australia, AUS
25.6,2007, Mar , Australia, AUS
22.5,2007, Apr , Australia, AUS
19.3,2007, May , Australia, AUS
13.2,2007, Jun , Australia, AUS
14.1,2007, Jul , Australia, AUS
16.5,2007, Aug , Australia, AUS
20,2007, Sep , Australia, AUS
23.5,2007, Oct , Australia, AUS
25.6,2007, Nov , Australia, AUS
26.7,2007, Dec , Australia, AUS
28.7,2008, Jan , Australia, AUS
26.3,2008, Feb , Australia, AUS
25.6,2008, Mar , Australia, AUS
21.2,2008, Apr , Australia, AUS
17.9,2008, May , Australia, AUS
15.5,2008, Jun , Australia, AUS
14,2008, Jul , Australia, AUS
14.7,2008, Aug , Australia, AUS
20,2008, Sep , Australia, AUS
23.7,2008, Oct , Australia, AUS
24.7,2008, Nov , Australia, AUS
26.7,2008, Dec , Australia, AUS
28.1,2009, Jan , Australia, AUS
27.3,2009, Feb , Australia, AUS
25.6,2009, Mar , Australia, AUS
22.1,2009, Apr , Australia, AUS
17.6,2009, May , Australia, AUS
15.2,2009, Jun , Australia, AUS
14.5,2009, Jul , Australia, AUS
17.5,2009, Aug , Australia, AUS
19.9,2009, Sep , Australia, AUS
22.6,2009, Oct , Australia, AUS
26.6,2009, Nov , Australia, AUS
27.5,2009, Dec , Australia, AUS
