Month,2018,2019,2020,,Year
1,0.76,0.94,1.14,,2018
2,0.77,0.86,1.17,,2019
3,0.89,1.1,1.18,,2020
4,0.85,0.97,1.05,,
5,0.82,0.87,0.95,,
6,0.78,0.95,0.92,,
7,0.83,0.93,0.92,,
8,0.8,0.92,0.94,,
9,0.83,0.94,0.94,,
10,0.93,0.95,0.83,,
11,0.79,0.92,0.95,,
12,0.89,1.05,0.78,,
