Year,Input,Output,TFP
2010–11,73,103,142
2011–12,72,100,139
2012–13,78,109,140
2013–14,86,114,133
2014–15,88,105,119
2015–16,84,101,121
2016–17,79,95,120
2017–18,86,110,128
2018–19,97,115,119
2019–20,99,108,109
