Year,Input,Output,TFP
1980–81,90,90,101
1981–82,87,89,102
1982–83,83,75,91
1983–84,73,73,99
1984–85,79,80,101
1985–86,66,68,104
1986–87,65,67,102
1987–88,62,64,103
1988–89,65,70,108
1989–90,74,88,118
