Temperature (Celsius),Year,Month, Country, ISO3
22.9,1990,October, Australia, AUS
24.1,1991,October, Australia, AUS
21.9,1992,October, Australia, AUS
21.8,1993,October, Australia, AUS
23,1994,October, Australia, AUS
22.4,1995,October, Australia, AUS
22.9,1996,October, Australia, AUS
23,1997,October, Australia, AUS
23,1998,October, Australia, AUS
23,1999,October, Australia, AUS
