Year,Input,Output,TFP
1990–91,71,79,111
1991–92,70,78,111
1992–93,77,95,123
1993–94,75,95,126
1994–95,79,97,123
1995–96,73,96,131
1996–97,69,100,146
1997–98,69,93,134
1998–99,65,88,135
1999–2000,72,94,130
